,row,col,plane,t,field,n,bacteria,assay,treatment,legio_area,annexin,cell_ROX,TMRM,well_id,cell_lbl
44728,4,5,1,1,1,12,WT,6,antimycina,6.73346,153.835,0.221491,0.340315,15,w15_f1_c12
46551,4,5,1,2,1,12,WT,6,antimycina,4.80714,133.061,0.184495,0.226268,15,w15_f1_c12
46729,4,5,1,3,1,12,WT,6,antimycina,7.80943,133.359,0.183372,0.223821,15,w15_f1_c12
46918,4,5,1,4,1,12,WT,6,antimycina,8.21726,135.623,0.18068,0.224575,15,w15_f1_c12
47114,4,5,1,5,1,12,WT,6,antimycina,10.4386,137.81,0.196836,0.234689,15,w15_f1_c12
47313,4,5,1,6,1,12,WT,6,antimycina,9.57089,140.508,0.213661,0.262095,15,w15_f1_c12
47515,4,5,1,7,1,12,WT,6,antimycina,11.6794,141.244,0.215617,0.265284,15,w15_f1_c12
47721,4,5,1,8,1,12,WT,6,antimycina,9.59692,142.67,0.216039,0.246406,15,w15_f1_c12
47926,4,5,1,9,1,12,WT,6,antimycina,9.68369,150.695,0.232467,0.252067,15,w15_f1_c12
44877,4,5,1,10,1,12,WT,6,antimycina,7.74001,148.871,0.249324,0.2681,15,w15_f1_c12
45083,4,5,1,11,1,12,WT,6,antimycina,12.1914,158.442,0.244218,0.260595,15,w15_f1_c12
45289,4,5,1,12,1,12,WT,6,antimycina,10.2304,163.019,0.246305,0.209049,15,w15_f1_c12
45496,4,5,1,13,1,12,WT,6,antimycina,12.9637,165.909,0.252609,0.193214,15,w15_f1_c12
45703,4,5,1,14,1,12,WT,6,antimycina,13.0244,175.595,0.270807,0.208083,15,w15_f1_c12
44729,4,5,1,1,1,13,WT,6,antimycina,0.0,139.021,0.129507,0.180416,15,w15_f1_c13
46552,4,5,1,2,1,13,WT,6,antimycina,0.0,141.146,0.141478,0.188901,15,w15_f1_c13
46730,4,5,1,3,1,13,WT,6,antimycina,0.0,137.872,0.131758,0.182368,15,w15_f1_c13
46919,4,5,1,4,1,13,WT,6,antimycina,0.0,140.225,0.132902,0.179918,15,w15_f1_c13
47115,4,5,1,5,1,13,WT,6,antimycina,0.0,141.201,0.140015,0.172807,15,w15_f1_c13
47314,4,5,1,6,1,13,WT,6,antimycina,0.0,141.734,0.14316,0.174552,15,w15_f1_c13
47516,4,5,1,7,1,13,WT,6,antimycina,0.0,145.885,0.156392,0.184929,15,w15_f1_c13
47722,4,5,1,8,1,13,WT,6,antimycina,0.0,141.677,0.147641,0.167873,15,w15_f1_c13
47927,4,5,1,9,1,13,WT,6,antimycina,0.0,150.193,0.185175,0.21723,15,w15_f1_c13
44878,4,5,1,10,1,13,WT,6,antimycina,0.0,152.524,0.178982,0.194801,15,w15_f1_c13
45084,4,5,1,11,1,13,WT,6,antimycina,0.0,159.779,0.205511,0.208501,15,w15_f1_c13
45290,4,5,1,12,1,13,WT,6,antimycina,0.0,164.791,0.217157,0.212309,15,w15_f1_c13
45497,4,5,1,13,1,13,WT,6,antimycina,0.0,168.152,0.240336,0.216476,15,w15_f1_c13
45704,4,5,1,14,1,13,WT,6,antimycina,0.0,169.984,0.235368,0.205936,15,w15_f1_c13
45912,4,5,1,15,1,13,WT,6,antimycina,0.0,172.152,0.251372,0.186295,15,w15_f1_c13
46128,4,5,1,16,1,13,WT,6,antimycina,0.0,179.907,0.273544,0.210731,15,w15_f1_c13
46345,4,5,1,17,1,13,WT,6,antimycina,0.0,157.248,0.21155,0.134796,15,w15_f1_c13
44730,4,5,1,1,1,14,WT,6,antimycina,17.9096,126.301,0.113386,0.158991,15,w15_f1_c14
46553,4,5,1,2,1,14,WT,6,antimycina,17.0593,129.405,0.11002,0.166391,15,w15_f1_c14
46731,4,5,1,3,1,14,WT,6,antimycina,18.4476,129.159,0.0990324,0.195296,15,w15_f1_c14
46920,4,5,1,4,1,14,WT,6,antimycina,21.3284,132.03,0.110484,0.249918,15,w15_f1_c14
47116,4,5,1,5,1,14,WT,6,antimycina,15.8879,118.677,0.0597319,0.062907,15,w15_f1_c14
47315,4,5,1,6,1,14,WT,6,antimycina,12.4864,120.664,0.0605101,0.0589657,15,w15_f1_c14
47517,4,5,1,7,1,14,WT,6,antimycina,14.0309,121.533,0.0591639,0.0546784,15,w15_f1_c14
47723,4,5,1,8,1,14,WT,6,antimycina,13.8834,122.088,0.0661541,0.0512831,15,w15_f1_c14
47928,4,5,1,9,1,14,WT,6,antimycina,18.9075,122.075,0.0670127,0.0491977,15,w15_f1_c14
44879,4,5,1,10,1,14,WT,6,antimycina,14.2132,123.915,0.0714608,0.0485919,15,w15_f1_c14
45085,4,5,1,11,1,14,WT,6,antimycina,16.6775,123.994,0.0695286,0.0480128,15,w15_f1_c14
45291,4,5,1,12,1,14,WT,6,antimycina,17.6493,125.599,0.0734952,0.0475945,15,w15_f1_c14
45498,4,5,1,13,1,14,WT,6,antimycina,18.7079,126.402,0.078024,0.0460303,15,w15_f1_c14
45705,4,5,1,14,1,14,WT,6,antimycina,18.248,127.694,0.0871927,0.0479126,15,w15_f1_c14
45913,4,5,1,15,1,14,WT,6,antimycina,15.7403,128.432,0.088402,0.0452382,15,w15_f1_c14
46129,4,5,1,16,1,14,WT,6,antimycina,17.953,129.321,0.0918579,0.0501972,15,w15_f1_c14
46346,4,5,1,17,1,14,WT,6,antimycina,15.5581,129.402,0.102174,0.0451339,15,w15_f1_c14
44731,4,5,1,1,1,15,WT,6,antimycina,1.49247,135.643,0.162753,0.207965,15,w15_f1_c15
46554,4,5,1,2,1,15,WT,6,antimycina,4.81582,133.582,0.16555,0.209665,15,w15_f1_c15
46732,4,5,1,3,1,15,WT,6,antimycina,4.2518,137.802,0.192862,0.214524,15,w15_f1_c15
46921,4,5,1,4,1,15,WT,6,antimycina,2.18664,134.883,0.182227,0.211281,15,w15_f1_c15
47117,4,5,1,5,1,15,WT,6,antimycina,2.08251,131.771,0.160101,0.194455,15,w15_f1_c15
47316,4,5,1,6,1,15,WT,6,antimycina,2.78536,130.125,0.147827,0.191285,15,w15_f1_c15
47518,4,5,1,7,1,15,WT,6,antimycina,3.57498,131.407,0.150439,0.173779,15,w15_f1_c15
47724,4,5,1,8,1,15,WT,6,antimycina,4.64227,128.753,0.149554,0.161735,15,w15_f1_c15
47929,4,5,1,9,1,15,WT,6,antimycina,2.61182,131.854,0.159567,0.164263,15,w15_f1_c15
44880,4,5,1,10,1,15,WT,6,antimycina,4.01752,132.343,0.15841,0.14019,15,w15_f1_c15
45086,4,5,1,11,1,15,WT,6,antimycina,6.20416,136.481,0.163536,0.131531,15,w15_f1_c15
45292,4,5,1,12,1,15,WT,6,antimycina,6.10003,136.758,0.171124,0.12523,15,w15_f1_c15
45499,4,5,1,13,1,15,WT,6,antimycina,5.56205,139.681,0.175995,0.115669,15,w15_f1_c15
45706,4,5,1,14,1,15,WT,6,antimycina,5.67485,139.814,0.18903,0.114505,15,w15_f1_c15
45914,4,5,1,15,1,15,WT,6,antimycina,5.92649,142.637,0.198677,0.109177,15,w15_f1_c15
46130,4,5,1,16,1,15,WT,6,antimycina,6.39506,146.517,0.205566,0.110908,15,w15_f1_c15
46347,4,5,1,17,1,15,WT,6,antimycina,6.1868,140.661,0.189729,0.0922796,15,w15_f1_c15
44732,4,5,1,1,1,16,WT,6,antimycina,11.61,146.306,0.184059,0.25213,15,w15_f1_c16
46555,4,5,1,2,1,16,WT,6,antimycina,9.74443,142.534,0.15595,0.230039,15,w15_f1_c16
46733,4,5,1,3,1,16,WT,6,antimycina,9.21513,140.876,0.155341,0.22792,15,w15_f1_c16
46922,4,5,1,4,1,16,WT,6,antimycina,10.725,140.912,0.139982,0.212375,15,w15_f1_c16
47118,4,5,1,5,1,16,WT,6,antimycina,9.93533,143.123,0.148445,0.216866,15,w15_f1_c16
47317,4,5,1,6,1,16,WT,6,antimycina,10.2998,145.849,0.149749,0.208912,15,w15_f1_c16
47519,4,5,1,7,1,16,WT,6,antimycina,9.76179,148.139,0.153919,0.214687,15,w15_f1_c16
47725,4,5,1,8,1,16,WT,6,antimycina,9.84856,151.497,0.171133,0.235816,15,w15_f1_c16
47930,4,5,1,9,1,16,WT,6,antimycina,16.4866,153.179,0.170542,0.217389,15,w15_f1_c16
44881,4,5,1,10,1,16,WT,6,antimycina,17.4411,157.389,0.179676,0.215651,15,w15_f1_c16
45087,4,5,1,11,1,16,WT,6,antimycina,14.9941,159.159,0.198625,0.220296,15,w15_f1_c16
45293,4,5,1,12,1,16,WT,6,antimycina,19.3674,164.131,0.196194,0.214417,15,w15_f1_c16
45500,4,5,1,13,1,16,WT,6,antimycina,19.4542,166.732,0.215671,0.217716,15,w15_f1_c16
45707,4,5,1,14,1,16,WT,6,antimycina,22.2829,175.985,0.248095,0.251347,15,w15_f1_c16
45915,4,5,1,15,1,16,WT,6,antimycina,19.029,176.151,0.275105,0.254411,15,w15_f1_c16
46131,4,5,1,16,1,16,WT,6,antimycina,22.5953,185.846,0.283645,0.283582,15,w15_f1_c16
46348,4,5,1,17,1,16,WT,6,antimycina,24.5303,195.172,0.291748,0.281516,15,w15_f1_c16
44733,4,5,1,1,1,17,WT,6,antimycina,1.0239,126.217,0.158667,0.128953,15,w15_f1_c17
46556,4,5,1,2,1,17,WT,6,antimycina,1.63998,131.011,0.137703,0.172672,15,w15_f1_c17
46734,4,5,1,3,1,17,WT,6,antimycina,0.0,128.512,0.133176,0.156296,15,w15_f1_c17
46923,4,5,1,4,1,17,WT,6,antimycina,1.62263,127.785,0.11884,0.132423,15,w15_f1_c17
47119,4,5,1,5,1,17,WT,6,antimycina,2.02177,129.529,0.121297,0.126279,15,w15_f1_c17
47318,4,5,1,6,1,17,WT,6,antimycina,2.25606,130.645,0.12292,0.118348,15,w15_f1_c17
47520,4,5,1,7,1,17,WT,6,antimycina,3.65308,132.682,0.131128,0.12427,15,w15_f1_c17
47726,4,5,1,8,1,17,WT,6,antimycina,2.45563,132.511,0.130379,0.115704,15,w15_f1_c17
47931,4,5,1,9,1,17,WT,6,antimycina,4.32122,135.459,0.141559,0.120405,15,w15_f1_c17
44882,4,5,1,10,1,17,WT,6,antimycina,3.10642,135.434,0.145435,0.117573,15,w15_f1_c17
45088,4,5,1,11,1,17,WT,6,antimycina,5.2757,138.173,0.142807,0.114931,15,w15_f1_c17
45294,4,5,1,12,1,17,WT,6,antimycina,6.10003,140.657,0.156489,0.129484,15,w15_f1_c17
45501,4,5,1,13,1,17,WT,6,antimycina,7.24542,143.62,0.165216,0.121603,15,w15_f1_c17
45708,4,5,1,14,1,17,WT,6,antimycina,10.9506,146.866,0.187349,0.134518,15,w15_f1_c17
45916,4,5,1,15,1,17,WT,6,antimycina,6.35167,150.998,0.203021,0.148922,15,w15_f1_c17
46558,4,5,1,2,1,19,WT,6,antimycina,0.0,127.22,0.159107,0.243937,15,w15_f1_c19
46736,4,5,1,3,1,19,WT,6,antimycina,0.0,131.171,0.161874,0.239449,15,w15_f1_c19
46925,4,5,1,4,1,19,WT,6,antimycina,0.0,132.018,0.149893,0.217335,15,w15_f1_c19
47120,4,5,1,5,1,19,WT,6,antimycina,0.0,131.332,0.139068,0.179739,15,w15_f1_c19
47319,4,5,1,6,1,19,WT,6,antimycina,0.0,134.746,0.15844,0.192293,15,w15_f1_c19
47521,4,5,1,7,1,19,WT,6,antimycina,0.0,136.153,0.153934,0.171927,15,w15_f1_c19
47727,4,5,1,8,1,19,WT,6,antimycina,0.0,134.121,0.146188,0.126724,15,w15_f1_c19
47932,4,5,1,9,1,19,WT,6,antimycina,0.0,141.192,0.15939,0.13671,15,w15_f1_c19
44883,4,5,1,10,1,19,WT,6,antimycina,0.0,142.821,0.167987,0.135859,15,w15_f1_c19
45089,4,5,1,11,1,19,WT,6,antimycina,0.0,147.056,0.177076,0.137849,15,w15_f1_c19
45295,4,5,1,12,1,19,WT,6,antimycina,0.0,151.277,0.184641,0.13764,15,w15_f1_c19
45502,4,5,1,13,1,19,WT,6,antimycina,0.0,153.989,0.192924,0.136773,15,w15_f1_c19
45709,4,5,1,14,1,19,WT,6,antimycina,0.0,153.77,0.216262,0.132363,15,w15_f1_c19
45917,4,5,1,15,1,19,WT,6,antimycina,0.0,165.125,0.21922,0.131031,15,w15_f1_c19
46132,4,5,1,16,1,19,WT,6,antimycina,0.0,167.586,0.230504,0.120718,15,w15_f1_c19
46349,4,5,1,17,1,19,WT,6,antimycina,0.0,164.61,0.23474,0.111228,15,w15_f1_c19
44677,4,5,1,0,1,2,WT,6,antimycina,6.1868,140.38,0.173976,0.235422,15,w15_f1_c2
44734,4,5,1,1,1,2,WT,6,antimycina,4.6336,133.395,0.124832,0.153181,15,w15_f1_c2
46559,4,5,1,2,1,2,WT,6,antimycina,5.38851,131.04,0.105825,0.134955,15,w15_f1_c2
46737,4,5,1,3,1,2,WT,6,antimycina,4.03487,132.923,0.112151,0.138592,15,w15_f1_c2
46926,4,5,1,4,1,2,WT,6,antimycina,6.20416,132.926,0.123694,0.130019,15,w15_f1_c2
47121,4,5,1,5,1,2,WT,6,antimycina,4.52079,136.108,0.1437,0.136075,15,w15_f1_c2
47320,4,5,1,6,1,2,WT,6,antimycina,6.13474,140.576,0.186091,0.183265,15,w15_f1_c2
47522,4,5,1,7,1,2,WT,6,antimycina,6.63802,136.622,0.152258,0.138511,15,w15_f1_c2
47728,4,5,1,8,1,2,WT,6,antimycina,6.80288,137.744,0.16841,0.151659,15,w15_f1_c2
47933,4,5,1,9,1,2,WT,6,antimycina,7.51441,142.58,0.165368,0.156018,15,w15_f1_c2
44884,4,5,1,10,1,2,WT,6,antimycina,7.94826,146.922,0.182053,0.173963,15,w15_f1_c2
45090,4,5,1,11,1,2,WT,6,antimycina,7.44499,153.064,0.187212,0.175263,15,w15_f1_c2
45296,4,5,1,12,1,2,WT,6,antimycina,6.67272,155.708,0.18013,0.165629,15,w15_f1_c2
45503,4,5,1,13,1,2,WT,6,antimycina,7.13261,157.083,0.193713,0.180682,15,w15_f1_c2
45710,4,5,1,14,1,2,WT,6,antimycina,6.20416,159.196,0.218699,0.184641,15,w15_f1_c2
45918,4,5,1,15,1,2,WT,6,antimycina,10.3084,160.269,0.226277,0.200126,15,w15_f1_c2
46133,4,5,1,16,1,2,WT,6,antimycina,9.91798,166.087,0.235695,0.199403,15,w15_f1_c2
46350,4,5,1,17,1,2,WT,6,antimycina,12.8509,161.111,0.310777,0.204729,15,w15_f1_c2
46560,4,5,1,2,1,20,WT,6,antimycina,1.29289,124.057,0.123099,0.140425,15,w15_f1_c20
46738,4,5,1,3,1,20,WT,6,antimycina,2.36018,122.459,0.125938,0.135744,15,w15_f1_c20
46927,4,5,1,4,1,20,WT,6,antimycina,5.24967,122.275,0.12359,0.132266,15,w15_f1_c20
47122,4,5,1,5,1,20,WT,6,antimycina,2.03913,122.709,0.119762,0.119929,15,w15_f1_c20
47321,4,5,1,6,1,20,WT,6,antimycina,5.62279,123.339,0.128966,0.121114,15,w15_f1_c20
47523,4,5,1,7,1,20,WT,6,antimycina,5.91781,124.339,0.139715,0.12846,15,w15_f1_c20
47729,4,5,1,8,1,20,WT,6,antimycina,5.2757,123.396,0.129078,0.115174,15,w15_f1_c20
47934,4,5,1,9,1,20,WT,6,antimycina,6.11739,124.508,0.142938,0.120238,15,w15_f1_c20
44885,4,5,1,10,1,20,WT,6,antimycina,6.97642,126.572,0.142285,0.118142,15,w15_f1_c20
45091,4,5,1,11,1,20,WT,6,antimycina,6.23887,129.388,0.140854,0.109145,15,w15_f1_c20
45297,4,5,1,12,1,20,WT,6,antimycina,6.3777,129.575,0.166563,0.11502,15,w15_f1_c20
45504,4,5,1,13,1,20,WT,6,antimycina,6.70743,129.747,0.164182,0.101089,15,w15_f1_c20
45711,4,5,1,14,1,20,WT,6,antimycina,5.70088,132.812,0.158873,0.0964166,15,w15_f1_c20
45919,4,5,1,15,1,20,WT,6,antimycina,5.8484,132.717,0.160379,0.105779,15,w15_f1_c20
46134,4,5,1,16,1,20,WT,6,antimycina,5.53602,137.071,0.163757,0.102976,15,w15_f1_c20
46351,4,5,1,17,1,20,WT,6,antimycina,3.97413,139.198,0.221159,0.23441,15,w15_f1_c20
46561,4,5,1,2,1,21,WT,6,antimycina,0.0,126.886,0.109172,0.130219,15,w15_f1_c21
46739,4,5,1,3,1,21,WT,6,antimycina,0.0,125.376,0.102637,0.120533,15,w15_f1_c21
46928,4,5,1,4,1,21,WT,6,antimycina,0.0,125.342,0.0987885,0.109286,15,w15_f1_c21
47123,4,5,1,5,1,21,WT,6,antimycina,0.0,126.236,0.108853,0.110952,15,w15_f1_c21
47322,4,5,1,6,1,21,WT,6,antimycina,0.0,126.191,0.107451,0.10114,15,w15_f1_c21
47524,4,5,1,7,1,21,WT,6,antimycina,0.0,129.415,0.115063,0.105475,15,w15_f1_c21
47730,4,5,1,8,1,21,WT,6,antimycina,0.0,128.06,0.186387,0.0901991,15,w15_f1_c21
47935,4,5,1,9,1,21,WT,6,antimycina,0.0,128.986,0.120242,0.0962215,15,w15_f1_c21
44886,4,5,1,10,1,21,WT,6,antimycina,0.0,130.588,0.123083,0.0918195,15,w15_f1_c21
45092,4,5,1,11,1,21,WT,6,antimycina,0.0,136.533,0.136087,0.0999441,15,w15_f1_c21
45298,4,5,1,12,1,21,WT,6,antimycina,0.0,138.966,0.161767,0.0941746,15,w15_f1_c21
45505,4,5,1,13,1,21,WT,6,antimycina,0.0,140.491,0.149849,0.0970127,15,w15_f1_c21
45712,4,5,1,14,1,21,WT,6,antimycina,0.0,141.352,0.163234,0.0977355,15,w15_f1_c21
45920,4,5,1,15,1,21,WT,6,antimycina,0.0,143.854,0.179588,0.0952775,15,w15_f1_c21
46135,4,5,1,16,1,21,WT,6,antimycina,0.0,148.021,0.178255,0.0970033,15,w15_f1_c21
46352,4,5,1,17,1,21,WT,6,antimycina,0.0,135.801,0.186375,0.0818971,15,w15_f1_c21
46562,4,5,1,2,1,22,WT,6,antimycina,0.0,125.99,0.13007,0.141826,15,w15_f1_c22
46740,4,5,1,3,1,22,WT,6,antimycina,0.0,127.124,0.133918,0.143212,15,w15_f1_c22
46929,4,5,1,4,1,22,WT,6,antimycina,0.0,130.173,0.145372,0.153205,15,w15_f1_c22
47124,4,5,1,5,1,22,WT,6,antimycina,0.0,129.524,0.147458,0.144333,15,w15_f1_c22
47323,4,5,1,6,1,22,WT,6,antimycina,0.0,128.319,0.147053,0.135617,15,w15_f1_c22
47525,4,5,1,7,1,22,WT,6,antimycina,0.0,131.798,0.166804,0.157452,15,w15_f1_c22
47731,4,5,1,8,1,22,WT,6,antimycina,0.0,126.746,0.139073,0.116588,15,w15_f1_c22
47936,4,5,1,9,1,22,WT,6,antimycina,0.0,129.864,0.160781,0.132346,15,w15_f1_c22
44887,4,5,1,10,1,22,WT,6,antimycina,0.0,132.55,0.166766,0.126453,15,w15_f1_c22
45093,4,5,1,11,1,22,WT,6,antimycina,0.0,136.424,0.183189,0.132297,15,w15_f1_c22
45299,4,5,1,12,1,22,WT,6,antimycina,0.0,139.463,0.192042,0.130063,15,w15_f1_c22
45506,4,5,1,13,1,22,WT,6,antimycina,0.0,137.409,0.186397,0.109022,15,w15_f1_c22
46563,4,5,1,2,1,23,WT,6,antimycina,0.0,136.531,0.130712,0.158829,15,w15_f1_c23
46741,4,5,1,3,1,23,WT,6,antimycina,0.0,134.671,0.125113,0.137806,15,w15_f1_c23
46930,4,5,1,4,1,23,WT,6,antimycina,0.0,134.546,0.111604,0.113084,15,w15_f1_c23
47125,4,5,1,5,1,23,WT,6,antimycina,0.0,134.75,0.115227,0.101854,15,w15_f1_c23
47324,4,5,1,6,1,23,WT,6,antimycina,0.0,134.666,0.118055,0.0986679,15,w15_f1_c23
47526,4,5,1,7,1,23,WT,6,antimycina,0.0,137.149,0.12626,0.0979921,15,w15_f1_c23
47732,4,5,1,8,1,23,WT,6,antimycina,0.0,136.148,0.124914,0.0877434,15,w15_f1_c23
47937,4,5,1,9,1,23,WT,6,antimycina,0.0,137.233,0.131642,0.0877179,15,w15_f1_c23
44888,4,5,1,10,1,23,WT,6,antimycina,0.0,139.821,0.136202,0.0845152,15,w15_f1_c23
45094,4,5,1,11,1,23,WT,6,antimycina,3.1151,153.45,0.180048,0.0803402,15,w15_f1_c23
46564,4,5,1,2,1,24,WT,6,antimycina,3.17584,128.855,0.118904,0.132614,15,w15_f1_c24
46742,4,5,1,3,1,24,WT,6,antimycina,3.47086,124.98,0.122915,0.14196,15,w15_f1_c24
46931,4,5,1,4,1,24,WT,6,antimycina,3.01965,126.523,0.105846,0.107163,15,w15_f1_c24
47126,4,5,1,5,1,24,WT,6,antimycina,1.88294,124.053,0.108359,0.101559,15,w15_f1_c24
47325,4,5,1,6,1,24,WT,6,antimycina,2.70727,127.231,0.103441,0.0936005,15,w15_f1_c24
47527,4,5,1,7,1,24,WT,6,antimycina,2.74198,129.035,0.116344,0.0963795,15,w15_f1_c24
47733,4,5,1,8,1,24,WT,6,antimycina,1.69204,126.674,0.0855537,0.0708447,15,w15_f1_c24
47938,4,5,1,9,1,24,WT,6,antimycina,1.935,130.523,0.128707,0.0916729,15,w15_f1_c24
44889,4,5,1,10,1,24,WT,6,antimycina,2.45563,132.014,0.133942,0.0796355,15,w15_f1_c24
45095,4,5,1,11,1,24,WT,6,antimycina,0.0,135.48,0.144557,0.0755953,15,w15_f1_c24
46565,4,5,1,2,1,25,WT,6,antimycina,0.0,129.943,0.130639,0.149141,15,w15_f1_c25
46743,4,5,1,3,1,25,WT,6,antimycina,2.55108,129.246,0.12691,0.129691,15,w15_f1_c25
46932,4,5,1,4,1,25,WT,6,antimycina,0.0,127.542,0.12381,0.123948,15,w15_f1_c25
47127,4,5,1,5,1,25,WT,6,antimycina,1.73543,128.463,0.123788,0.107159,15,w15_f1_c25
47326,4,5,1,6,1,25,WT,6,antimycina,0.0,128.312,0.124421,0.106869,15,w15_f1_c25
47528,4,5,1,7,1,25,WT,6,antimycina,1.78749,129.59,0.131296,0.106682,15,w15_f1_c25
47734,4,5,1,8,1,25,WT,6,antimycina,3.08906,126.975,0.14144,0.104371,15,w15_f1_c25
47939,4,5,1,9,1,25,WT,6,antimycina,2.55976,130.258,0.143388,0.106845,15,w15_f1_c25
44890,4,5,1,10,1,25,WT,6,antimycina,2.09987,134.239,0.157529,0.112744,15,w15_f1_c25
45096,4,5,1,11,1,25,WT,6,antimycina,2.94155,136.942,0.166072,0.119419,15,w15_f1_c25
45300,4,5,1,12,1,25,WT,6,antimycina,3.05436,139.646,0.171451,0.115593,15,w15_f1_c25
45507,4,5,1,13,1,25,WT,6,antimycina,2.52505,140.315,0.1743,0.103147,15,w15_f1_c25
45713,4,5,1,14,1,25,WT,6,antimycina,3.01097,143.387,0.193973,0.11349,15,w15_f1_c25
45921,4,5,1,15,1,25,WT,6,antimycina,3.67911,137.523,0.174938,0.0876407,15,w15_f1_c25
46136,4,5,1,16,1,25,WT,6,antimycina,3.15848,144.086,0.191939,0.101542,15,w15_f1_c25
46353,4,5,1,17,1,25,WT,6,antimycina,2.02177,137.768,0.188868,0.0885478,15,w15_f1_c25
46566,4,5,1,2,1,26,WT,6,antimycina,1.42305,132.157,0.147571,0.172953,15,w15_f1_c26
46744,4,5,1,3,1,26,WT,6,antimycina,1.57924,132.864,0.158207,0.181594,15,w15_f1_c26
46933,4,5,1,4,1,26,WT,6,antimycina,1.26686,136.046,0.158589,0.201371,15,w15_f1_c26
47128,4,5,1,5,1,26,WT,6,antimycina,1.5185,133.91,0.136616,0.157827,15,w15_f1_c26
47327,4,5,1,6,1,26,WT,6,antimycina,1.57056,132.56,0.131221,0.154213,15,w15_f1_c26
47529,4,5,1,7,1,26,WT,6,antimycina,1.74411,134.057,0.130532,0.156656,15,w15_f1_c26
47735,4,5,1,8,1,26,WT,6,antimycina,1.77014,131.683,0.134352,0.138538,15,w15_f1_c26
47940,4,5,1,9,1,26,WT,6,antimycina,2.26473,134.859,0.142546,0.149885,15,w15_f1_c26
44891,4,5,1,10,1,26,WT,6,antimycina,3.54028,140.951,0.15115,0.16038,15,w15_f1_c26
45097,4,5,1,11,1,26,WT,6,antimycina,4.19106,149.605,0.185362,0.197068,15,w15_f1_c26
45301,4,5,1,12,1,26,WT,6,antimycina,5.70088,152.632,0.194373,0.189792,15,w15_f1_c26
45508,4,5,1,13,1,26,WT,6,antimycina,8.16519,158.541,0.2109,0.184858,15,w15_f1_c26
45714,4,5,1,14,1,26,WT,6,antimycina,9.54486,163.686,0.222993,0.203514,15,w15_f1_c26
45922,4,5,1,15,1,26,WT,6,antimycina,8.19123,169.34,0.249899,0.200705,15,w15_f1_c26
46137,4,5,1,16,1,26,WT,6,antimycina,11.1067,174.559,0.247477,0.199028,15,w15_f1_c26
46354,4,5,1,17,1,26,WT,6,antimycina,9.28455,161.236,0.221351,0.150067,15,w15_f1_c26
46567,4,5,1,2,1,27,WT,6,antimycina,0.0,124.106,0.131295,0.134019,15,w15_f1_c27
46745,4,5,1,3,1,27,WT,6,antimycina,0.0,124.988,0.13618,0.142889,15,w15_f1_c27
46934,4,5,1,4,1,27,WT,6,antimycina,0.0,126.665,0.0950235,0.0693939,15,w15_f1_c27
47129,4,5,1,5,1,27,WT,6,antimycina,3.68779,126.094,0.109831,0.0688417,15,w15_f1_c27
47328,4,5,1,6,1,27,WT,6,antimycina,0.0,127.536,0.115677,0.0686132,15,w15_f1_c27
47530,4,5,1,7,1,27,WT,6,antimycina,0.919777,130.321,0.12422,0.0728585,15,w15_f1_c27
47736,4,5,1,8,1,27,WT,6,antimycina,3.47086,128.298,0.133652,0.0707623,15,w15_f1_c27
47941,4,5,1,9,1,27,WT,6,antimycina,3.88736,131.588,0.13129,0.0705998,15,w15_f1_c27
44892,4,5,1,10,1,27,WT,6,antimycina,0.0,123.658,0.0830419,0.0557796,15,w15_f1_c27
45098,4,5,1,11,1,27,WT,6,antimycina,0.0,130.083,0.0813655,0.0549097,15,w15_f1_c27
45302,4,5,1,12,1,27,WT,6,antimycina,0.0,132.64,0.0835284,0.0573676,15,w15_f1_c27
45509,4,5,1,13,1,27,WT,6,antimycina,0.0347086,135.028,0.0901161,0.0542489,15,w15_f1_c27
45715,4,5,1,14,1,27,WT,6,antimycina,1.08464,136.347,0.0983927,0.0524941,15,w15_f1_c27
45923,4,5,1,15,1,27,WT,6,antimycina,0.0,138.636,0.102357,0.051919,15,w15_f1_c27
46138,4,5,1,16,1,27,WT,6,antimycina,1.75278,142.078,0.103738,0.056108,15,w15_f1_c27
46355,4,5,1,17,1,27,WT,6,antimycina,3.61837,132.469,0.119664,0.0473578,15,w15_f1_c27
46746,4,5,1,3,1,28,WT,6,antimycina,0.0,134.531,0.1785,0.223603,15,w15_f1_c28
46935,4,5,1,4,1,28,WT,6,antimycina,0.0,130.199,0.161615,0.220331,15,w15_f1_c28
47130,4,5,1,5,1,28,WT,6,antimycina,0.0,130.961,0.146796,0.187259,15,w15_f1_c28
47329,4,5,1,6,1,28,WT,6,antimycina,0.0,134.822,0.15018,0.200405,15,w15_f1_c28
47531,4,5,1,7,1,28,WT,6,antimycina,0.225606,133.521,0.152902,0.201232,15,w15_f1_c28
47737,4,5,1,8,1,28,WT,6,antimycina,8.33874,140.185,0.183844,0.233864,15,w15_f1_c28
47942,4,5,1,9,1,28,WT,6,antimycina,9.86591,143.824,0.177187,0.224795,15,w15_f1_c28
44893,4,5,1,10,1,28,WT,6,antimycina,10.3952,144.686,0.18424,0.208518,15,w15_f1_c28
45099,4,5,1,11,1,28,WT,6,antimycina,13.9962,147.523,0.171103,0.179959,15,w15_f1_c28
45303,4,5,1,12,1,28,WT,6,antimycina,4.54682,152.091,0.17873,0.179077,15,w15_f1_c28
